Ladybird.ID,Sex,Age,Mass.Ave,Width,Length,Avg_area,Mass.per.area,Tuck.mean,Right.mean,Shelter.mean,NSA.contact.mean,NSA.time.mean,P.contact.mean
70,M,14,0.0346,5,7,32.5,0.001064615,0,3.668333333,7.4525,0.333333333,528,5
71,F,9,0.0312,5,7,29.25,0.001066667,29.8,6,7.1325,2,176.3333333,3
72,M,11,0.02495,5.5,8,35.625,0.000700351,2.5,27.47333333,7.3325,0.5,158.515,12
73,M,14,0.0331,4,7,33.75,0.000980741,0,4.616666667,91.0175,0,NA,5
74,F,7,0.0218,6,7,40.25,0.000541615,0,10.20333333,6,0,NA,1.666666667
75,M,7,0.0285,7,9,63,0.000452381,0,1.73,NA,0.25,344,15
76,F,7,0.0321,5,6,30,0.00107,0,17.69333333,586,0,39,5
78,M,9,0.02145,5,7,35,0.000612857,0,53.42833333,20,0.5,NA,0
79,F,14,0.03745,5,6,32.5,0.001152308,29.7,580.6616667,6.01,0.5,600.6666667,2.333333333
80,M,1,0.0193,5,7,35,0.000551429,1.515,3.926666667,7.1175,1,304,1
82,F,1,0.01475,4,7,32.625,0.000452107,1.583333333,205.41,17,1,305,3
83,F,1,0.02975,NA,NA,37.5,0.000793333,0,7.526666667,5.4525,0.333333333,347.8266667,6
84,F,1,0.0249,5,7,35,0.000711429,0,2.59,7,0,NA,0
89,F,1,0.02,4,6,24,0.000833333,0,6.666666667,11,0,NA,2
99,F,2,0.0192,NA,NA,NA,NA,0,2.5,NA,1,80.5,10
